epoch,loss,mse,val_loss,val_mse
0,0.14860202372074127,0.043800849467515945,0.20223012566566467,0.04918244853615761
1,0.0904143899679184,0.0260343998670578,0.08454376459121704,0.026367472484707832
2,0.08031976968050003,0.023093819618225098,0.07491308450698853,0.022814860567450523
3,0.06754499673843384,0.019664911553263664,0.05720604583621025,0.01711026206612587
4,0.06480482220649719,0.018766282126307487,0.058513231575489044,0.017374003306031227
5,0.06335137039422989,0.018335962668061256,0.057005852460861206,0.016751358285546303
6,0.06189427524805069,0.017946721985936165,0.050493646413087845,0.015003804117441177
7,0.06117357686161995,0.017767207697033882,0.051620982587337494,0.015267470851540565
8,0.06158516928553581,0.017801113426685333,0.0575297549366951,0.017308177426457405
9,0.060926176607608795,0.017648780718445778,0.051137425005435944,0.01544688455760479
10,0.06072802469134331,0.017610978335142136,0.05178113654255867,0.015348061919212341
11,0.06008908897638321,0.01740771159529686,0.0521077923476696,0.015581964515149593
12,0.0605391301214695,0.017578883096575737,0.05175768584012985,0.015416109934449196
13,0.0595337450504303,0.017246250063180923,0.04952683299779892,0.014781691133975983
14,0.0593436025083065,0.017280373722314835,0.049479614943265915,0.014751569367945194
15,0.05878783389925957,0.017050988972187042,0.051423657685518265,0.015317282639443874
16,0.059209372848272324,0.01719914749264717,0.05956658720970154,0.017817821353673935
17,0.058384381234645844,0.016948945820331573,0.049332380294799805,0.014757959172129631
18,0.057946402579545975,0.016848012804985046,0.04976620152592659,0.014791097491979599
19,0.05852765217423439,0.017074355855584145,0.05363472178578377,0.016290144994854927
20,0.057950228452682495,0.016838617622852325,0.04791451245546341,0.014275137335062027
21,0.057923782616853714,0.016757361590862274,0.049168944358825684,0.014596670866012573
22,0.05741197615861893,0.016665088012814522,0.048840589821338654,0.014575550332665443
23,0.057773202657699585,0.016758251935243607,0.04651016369462013,0.013688202947378159
24,0.05713161453604698,0.016614118590950966,0.04897069185972214,0.014770211651921272
25,0.05747392773628235,0.01671365462243557,0.047237031161785126,0.014075180515646935
26,0.05726839601993561,0.01667000539600849,0.04897270351648331,0.014640729874372482
27,0.0567154623568058,0.016500037163496017,0.049543581902980804,0.014801637269556522
28,0.05627524480223656,0.016464972868561745,0.047823723405599594,0.014054969884455204
29,0.057266972959041595,0.016716953366994858,0.04769623279571533,0.014356411062180996
30,0.055976852774620056,0.016312476247549057,0.047585610300302505,0.013889380730688572
31,0.05624786391854286,0.01639675348997116,0.050111763179302216,0.015130591578781605
32,0.056486405432224274,0.016489587724208832,0.051180195063352585,0.0154594536870718
33,0.05639189854264259,0.01641361229121685,0.04918414726853371,0.014292574487626553
34,0.056283727288246155,0.0164368636906147,0.04804402217268944,0.014300172217190266
35,0.05559008568525314,0.016226092353463173,0.048766668885946274,0.014414605684578419
36,0.05590943992137909,0.01629393734037876,0.04724631458520889,0.014127224683761597
37,0.055616118013858795,0.016239799559116364,0.04535464197397232,0.013413382694125175
38,0.05499139800667763,0.016049353405833244,0.056059081107378006,0.017065610736608505
39,0.05516058951616287,0.01604212448000908,0.049576982855796814,0.01493101567029953
40,0.05525726079940796,0.01613391749560833,0.04437857121229172,0.01310813333839178
41,0.055454518646001816,0.01618540845811367,0.045172400772571564,0.013536270707845688
42,0.055471956729888916,0.01623731292784214,0.04726271331310272,0.014108236879110336
43,0.05501734837889671,0.016105739399790764,0.05090634897351265,0.015067655593156815
44,0.05498538166284561,0.016039766371250153,0.050333403050899506,0.015214920975267887
45,0.05512876436114311,0.016073500737547874,0.04612079635262489,0.013918687589466572
46,0.05531696230173111,0.01612924598157406,0.04787733405828476,0.014464235864579678
47,0.05481405183672905,0.01604447141289711,0.044278521090745926,0.013337332755327225
48,0.055490218102931976,0.016206713393330574,0.04695809632539749,0.014128622598946095
49,0.05495211482048035,0.01604483090341091,0.0478544756770134,0.014267739839851856
